Altium Designer Pick and Place Locations
D:\farmbot\PCB\Farmduino\1.5\Project Outputs for FMB-genesis 20a\Pick Place for FMB-genesis 20a.csv

========================================================================================================================
File Design Information:

Date:       30.09.20
Time:       18:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"RP7","100R,1%,1608","TopLayer","RP1608","3565.748","1888.465","90",""
"U6","TMC2130-LA(1)","TopLayer","QFN-36","3700.158","3261.575","360","IC STEPPER MOTOR DVR SPI 36QFN"
"U5","TMC2130-LA(1)","TopLayer","QFN-36","2900.118","3261.575","360","IC STEPPER MOTOR DVR SPI 36QFN"
"U4","TMC2130-LA(1)","TopLayer","QFN-36","2100.079","3261.575","360","IC STEPPER MOTOR DVR SPI 36QFN"
"U3","TMC2130-LA(1)","TopLayer","QFN-36","500.000","3261.575","360","IC STEPPER MOTOR DVR SPI 36QFN"
"U2","TMC2130-LA(1)","TopLayer","QFN-36","1300.039","3261.575","360","IC STEPPER MOTOR DVR SPI 36QFN"
"R73","0.22R,1%,1206","TopLayer","1206R","765.000","3170.000","270","Resistor"
"R72","0.22R,1%,1206","TopLayer","1206R","1565.000","3170.000","270","Resistor"
"R71","0.22R,1%,1206","TopLayer","1206R","3165.000","3170.000","270","Resistor"
"R70","10K,1%,0603","TopLayer","0603R","2350.000","1555.000","180","Resistor"
"R65","10K,1%,0603","TopLayer","0603R","3000.000","1015.000","360","Resistor"
"C114","100NF,50V,0603","TopLayer","0603C","845.003","3149.997","90","Capacitor"
"C113","100NF,50V,0603","TopLayer","0603C","1645.003","3149.997","90","Capacitor"
"C112","100NF,50V,0603","TopLayer","0603C","3245.003","3149.997","90","Capacitor"
"C111","1UF,16V,0603","TopLayer","0603C","754.997","2140.003","270","Capacitor"
"C110","100NF,50V,0603","TopLayer","0603C","150.000","3149.997","90","Capacitor"
"C109","100NF,50V,0603","TopLayer","0603C","950.003","3149.997","90","Capacitor"
"C108","1UF,16V,0603","TopLayer","0603C","1434.409","2175.000","180","Capacitor"
"C107","100NF,50V,0603","TopLayer","0603C","2550.003","3149.997","90","Capacitor"
"C106","1UF,16V,0603","TopLayer","0603C","494.997","3500.591","270","Capacitor"
"C105","1UF,16V,0603","TopLayer","0603C","1309.997","3500.591","270","Capacitor"
"C104","1UF,16V,0603","TopLayer","0603C","2904.997","3500.591","270","Capacitor"
"C103","100NF,50V,0603","TopLayer","0603C","565.000","3020.591","90","Capacitor"
"C102","100NF,50V,0603","TopLayer","0603C","434.997","3500.591","270","Capacitor"
"C101","100NF,50V,0603","TopLayer","0603C","1360.003","3020.591","90","Capacitor"
"C100","1UF,16V,0603","TopLayer","0603C","2355.003","2540.000","180","Capacitor"
"C99","100NF,50V,0603","TopLayer","0603C","2960.003","3020.591","90","Capacitor"
"C98","100NF,50V,0603","TopLayer","0603C","254.997","3334.997","360","Capacitor"
"C97","100NF,50V,0603","TopLayer","0603C","1249.997","3500.591","270","Capacitor"
"C96","100NF,50V,0603","TopLayer","0603C","2839.997","3500.591","270","Capacitor"
"C95","100NF,50V,0603","TopLayer","0603C","1054.997","3334.997","360","Capacitor"
"C94","100NF,50V,0603","TopLayer","0603C","2654.997","3334.997","360","Capacitor"
"C93","22NF,25V,0603","TopLayer","0603C","345.003","3475.003","180","Capacitor"
"C92","22NF,25V,0603","TopLayer","0603C","2750.003","3475.003","180","Capacitor"
"C91","100NF,50V,0603","TopLayer","0603C","255.591","3395.000","360","Capacitor"
"C90","22NF,25V,0603","TopLayer","0603C","1160.003","3475.003","180","Capacitor"
"C89","100NF,25V,0603","TopLayer","0603C","3390.000","1254.409","90","Capacitor"
"C88","100NF,50V,0603","TopLayer","0603C","2654.997","3394.997","360","Capacitor"
